Date,NDX Close,QQQ Close,TQQQ Close,QQQ Return,Synthetic TQQQ Return,QQQ Source,TQQQ Source,NDX Classification
1938-04-05,2.01,0.042687714065665606,4.737466344526027e-05,0.025510204081632626,0.07526644375784855,Synthetic QQQ from NDX,Synthetic fitted TQQQ,Vendor reconstructed pre-1985 NDX
1938-04-06,1.96,0.04162583063119631,4.388103447736557e-05,-0.02487562189054726,-0.07374467096597903,Synthetic QQQ from NDX,Synthetic fitted TQQQ,Vendor reconstructed pre-1985 NDX
1938-04-07,1.95,0.04141345394430246,4.321113547455758e-05,-0.005102040816326481,-0.015266253651187072,Synthetic QQQ from NDX,Synthetic fitted TQQQ,Vendor reconstructed pre-1985 NDX
1938-04-08,2.04,0.04332484412634719,4.9101590207437485e-05,0.04615384615384621,0.1363179807285576,Synthetic QQQ from NDX,Synthetic fitted TQQQ,Vendor reconstructed pre-1985 NDX
1938-04-09,2.17,0.04608574105596735,5.834665298477191e-05,0.0637254901960782,0.18828438627501037,Synthetic QQQ from NDX,Synthetic fitted TQQQ,Vendor reconstructed pre-1985 NDX
1938-04-11,2.11,0.04481148093460419,5.3565206656460424e-05,-0.02764976958525356,-0.0819489393771978,Synthetic QQQ from NDX,Synthetic fitted TQQQ,Vendor reconstructed pre-1985 NDX
1938-04-12,2.13,0.045236234308391916,5.5057253193063756e-05,0.009478672985782088,0.027854770470178487,Synthetic QQQ from NDX,Synthetic fitted TQQQ,Vendor reconstructed pre-1985 NDX
1938-04-13,2.14,0.04544861099528578,5.5811925335216055e-05,0.0046948356807512415,0.013707043093958258,Synthetic QQQ from NDX,Synthetic fitted TQQQ,Vendor reconstructed pre-1985 NDX
1938-04-14,2.16,0.045873364369073494,5.7344620994358e-05,0.009345794392523255,0.02746179512597424,Synthetic QQQ from NDX,Synthetic fitted TQQQ,Vendor reconstructed pre-1985 NDX
1938-04-16,2.24,0.047572377864224365,6.36155945645758e-05,0.03703703703703698,0.10935591623902863,Synthetic QQQ from NDX,Synthetic fitted TQQQ,Vendor reconstructed pre-1985 NDX
1938-04-18,2.2,0.04672287111664893,6.0244718022944176e-05,-0.017857142857142794,-0.05298821090495197,Synthetic QQQ from NDX,Synthetic fitted TQQQ,Vendor reconstructed pre-1985 NDX
1938-04-19,2.14,0.04544861099528578,5.537490408338264e-05,-0.027272727272727337,-0.08083387389591339,Synthetic QQQ from NDX,Synthetic fitted TQQQ,Vendor reconstructed pre-1985 NDX
1938-04-20,2.13,0.045236234308391916,5.459981580924164e-05,-0.004672897196261738,-0.013997103687509312,Synthetic QQQ from NDX,Synthetic fitted TQQQ,Vendor reconstructed pre-1985 NDX
1938-04-21,2.15,0.04566098768217963,5.6106309735924674e-05,0.009389671361502261,0.027591556937597104,Synthetic QQQ from NDX,Synthetic fitted TQQQ,Vendor reconstructed pre-1985 NDX
1938-04-22,2.21,0.04693524780354279,6.072692594969626e-05,0.027906976744186185,0.08235466270227743,Synthetic QQQ from NDX,Synthetic fitted TQQQ,Vendor reconstructed pre-1985 NDX
